State,Infant,Toddler,4-Year-Old,Two Children,Annualized Rent,% Difference,Annualized Mortgage,% Difference
Alabama*,"$8,632","$8,424","$8,008","$16,640","$11,556",43.99%,"$16,632",0.05%
Alaska,"$12,107","$11,304","$9,883","$21,990","$16,656",32.03%,"$26,304",-16.40%
Arizona*,"$15,964","$13,390","$11,680","$27,644","$17,172",60.98%,"$20,868",32.47%
Arkansas,"$9,178","$8,801","$8,320","$17,498","$10,968",59.54%,"$15,564",12.43%
California*,"$22,628",NR,"$16,665","$39,293","$23,472",67.40%,"$34,380",14.29%
Colorado,"$20,978","$17,479","$14,800","$35,779","$20,316",76.11%,"$26,772",33.64%
Connecticut,"$18,492","$18,829","$15,297","$33,789","$17,172",96.77%,"$28,596",18.16%
Delaware,"$16,617","$14,668","$13,218","$29,835","$16,092",85.40%,"$21,384",39.52%
District of Columbia,"$26,193","$24,087","$20,981","$47,174","$22,800",106.90%,"$36,744",28.39%
Florida*,"$13,011","$11,461","$9,409","$22,420","$18,768",19.46%,"$22,320",0.45%
Georgia,"$11,066","$10,537","$9,573","$20,639","$15,672",31.69%,"$20,544",0.46%
Hawaii,"$24,115","$18,852","$13,992","$38,107","$23,256",63.86%,"$34,356",10.92%
Idaho*,"$10,608","$9,996","$9,201","$19,809","$13,800",43.54%,"$19,320",2.53%
Illinois*,"$19,807","$18,736","$17,238","$37,045","$14,724",151.60%,"$23,400",58.31%
Indiana,"$16,478","$16,002","$12,531","$29,009","$12,240",137%,"$16,260",78.41%
Iowa,"$12,694","$11,729","$10,100","$22,794","$11,388",100.16%,"$17,928",27.14%
Kansas,"$15,156","$11,071","$9,217","$24,373","$12,348",97.38%,"$19,656",24%
Kentucky,"$12,740","$12,220","$10,712","$23,452","$11,196",109.47%,"$16,716",40.30%
Louisiana*,"$10,847","$9,997","$9,378","$20,225","$12,456",62.37%,"$18,516",9.23%
Maine*,"$15,730","$14,820","$14,144","$29,874","$13,008",129.66%,"$19,884",50.24%
Maryland,"$25,321","$22,594","$15,601","$40,832","$19,944",104.73%,"$27,612",47.88%
Massachusetts,"$26,343","$24,314","$20,669","$47,012","$20,244",132.23%,"$31,908",47.34%
Michigan,"$13,454","$13,555","$12,246","$25,699","$13,008",97.56%,"$18,252",40.80%
Minnesota,"$20,421","$18,042","$15,733","$36,154","$14,820",143.95%,"$22,680",59.41%
Mississippi*,"$7,696","$7,254","$6,864","$14,560","$11,076",31.46%,"$16,236",-10.32%
Missouri,"$13,780","$11,700","$9,568","$23,348","$11,952",95.35%,"$17,736",31.64%
Montana,"$15,080","$15,080","$14,300","$29,380","$12,372",137.47%,"$20,832",41.03%
Nebraska,"$18,147","$17,184","$15,738","$32,916","$12,420",165.02%,"$20,232",62.69%
Nevada,"$12,659","$11,442","$10,605","$23,264","$17,868",30.20%,"$22,404",3.84%
New Hampshire*,"$16,040","$14,870","$13,042","$29,082","$17,076",70.31%,"$27,660",5.14%
New Jersey*,"$20,213","$19,448","$17,503","$37,717","$19,836",90.14%,"$33,444",12.78%
New York,"$20,439","$18,661","$17,343","$37,783","$18,912",99.79%,"$30,012",25.89%
North Carolina,"$12,370","$11,694","$10,381","$22,751","$13,944",63.16%,"$18,732",21.46%
North Dakota,"$12,299","$11,580","$10,869","$23,168","$11,208",106.71%,"$20,580",12.58%
Ohio,"$13,780","$12,376","$11,752","$25,532","$11,856",115.35%,"$17,664",44.54%
Oklahoma,"$10,809","$10,060","$9,415","$20,224","$11,760",71.97%,"$17,748",13.95%
Oregon,"$19,500","$17,368","$13,260","$32,760","$17,400",88.28%,"$24,960",31.25%
Pennsylvania*,"$14,910","$14,180","$12,453","$27,364","$13,944",96.24%,"$20,664",32.42%
Rhode Island*,"$18,486",NA,"$16,212","$34,698","$15,276",127.14%,"$26,280",32.03%
South Carolina,"$10,474","$10,308","$9,691","$20,166","$13,512",49.25%,"$17,700",13.93%
South Dakota,"$8,632","$8,632","$8,070","$16,702","$10,944",52.62%,"$19,416",-13.98%
Tennessee*,"$13,126","$12,063","$10,840","$23,966","$13,464",78%,"$18,072",32.61%
Texas*,"$11,349","$10,921","$10,225","$21,574","$16,068",34.27%,"$24,144",-10.64%
Utah,"$14,160","$11,328","$9,876","$24,036","$16,860",42.56%,"$23,124",3.94%
Vermont*,"$18,710","$17,988","$15,877","$34,586","$14,316",141.59%,"$22,524",53.55%
Virginia,"$16,796","$15,964","$13,884","$30,680","$18,168",68.87%,"$24,948",22.98%
Washington,"$21,348","$19,236","$16,908","$38,256","$20,184",89.54%,"$28,296",35.20%
West Virginia*,"$10,439","$9,903","$9,368","$19,807","$10,200",94.19%,"$14,700",34.74%
Wisconsin*,"$17,963","$18,239","$15,039","$33,002","$12,540",163.17%,"$19,824",66.47%
Wyoming*,"$12,784","$11,897","$11,229","$24,013","$11,616",106.72%,"$20,292",18.34%