Rank,State,Median Income.Single Parent,Infant Care.Price,Infant Care.% of Income,Toddler Care.Price,Toddler Care.% of Income,4-Year-Old Care.Price,4-Year-Old Care.% of Income
1,Massachusetts,"$42,380","$26,343",62.2%,"$24,314",57.4%,"$20,669",48.8%
2,Washington,"$42,108","$21,348",50.7%,"$19,236",45.7%,"$16,908",40.2%
3,New York,"$40,903","$20,439",50.0%,"$18,661",45.6%,"$17,343",42.4%
4,California*,"$45,721","$22,628",49.5%,NR,,"$16,665",36.4%
5,Hawaii,"$49,190","$24,115",49.0%,"$18,852",38.3%,"$13,992",28.4%
6,Maryland,"$52,696","$25,321",48.1%,"$22,594",42.9%,"$15,601",29.6%
7,Illinois,"$41,288","$19,807",48.0%,"$18,736",45.4%,"$17,238",41.8%
8,Rhode Island*,"$39,134","$18,486",47.2%,NA,,"$16,212",41.4%
9,District of Columbia,"$55,536","$26,193",47.2%,"$24,087",43.4%,"$20,981",37.8%
10,Oregon,"$41,753","$19,500",46.7%,"$17,368",41.6%,"$13,260",31.8%
11,Indiana,"$35,871","$16,478",45.9%,"$16,002",44.6%,"$12,531",34.9%
12,Minnesota,"$44,713","$20,421",45.7%,"$18,042",40.4%,"$15,733",35.2%
13,New Jersey*,"$44,800","$20,213",45.1%,"$19,448",43.4%,"$17,503",39.1%
14,Kentucky,"$28,400","$12,740",44.9%,"$12,220",43.0%,"$10,712",37.7%
15,Wisconsin,"$40,428","$17,963",44.4%,"$18,239",45.1%,"$15,039",37.2%
16,Colorado,"$48,348","$20,978",43.4%,"$17,479",36.2%,"$14,800",30.6%
17,Vermont,"$43,136","$18,710",43.4%,"$17,988",41.7%,"$15,877",36.8%
18,Nebraska,"$42,047","$18,147",43.2%,"$17,184",40.9%,"$15,738",37.4%
19,Connecticut,"$43,073","$18,492",42.9%,"$18,829",43.7%,"$15,297",35.5%
20,Tennessee,"$32,391","$13,126",40.5%,"$12,063",37.2%,"$10,840",33.5%
21,Pennsylvania*,"$37,131","$14,910",40.2%,"$14,180",38.2%,"$12,453",33.5%
22,Kansas,"$37,850","$15,156",40.0%,"$11,071",29.2%,"$9,217",24.4%
23,Ohio,"$34,414","$13,780",40.0%,"$12,376",36.0%,"$11,752",34.1%
24,Virginia,"$42,879","$16,796",39.2%,"$15,964",37.2%,"$13,884",32.4%
25,Louisiana*,"$27,790","$10,847",39.0%,"$9,997",36.0%,"$9,378",33.7%
26,Maine*,"$40,736","$15,730",38.6%,"$14,820",36.4%,"$14,144",34.7%
27,Wyoming*,"$33,303","$12,784",38.4%,"$11,897",35.7%,"$11,229",33.7%
28,Michigan,"$35,603","$13,454",37.8%,"$13,555",38.1%,"$12,246",34.4%
29,Delaware,"$45,405","$16,617",36.6%,"$14,668",32.3%,"$13,218",29.1%
30,Montana,"$41,602","$15,080",36.2%,"$15,080",36.2%,"$14,300",34.4%
31,Arizona,"$44,148","$15,964",36.2%,"$13,390",30.3%,"$11,680",26.5%
32,New Hampshire,"$45,086","$16,040",35.6%,"$14,870",33.0%,"$13,042",28.9%
33,West Virginia*,"$29,974","$10,439",34.8%,"$9,903",33.0%,"$9,368",31.3%
34,North Dakota,"$35,660","$12,299",34.5%,"$11,580",32.5%,"$10,869",30.5%
35,Missouri,"$39,986","$13,780",34.5%,"$11,700",29.3%,"$9,568",23.9%
36,Oklahoma,"$31,574","$10,809",34.2%,"$10,060",31.9%,"$9,415",29.8%
37,North Carolina,"$36,181","$12,370",34.2%,"$11,694",32.3%,"$10,381",28.7%
38,Iowa,"$39,543","$12,694",32.1%,"$11,729",29.7%,"$10,100",25.5%
39,Nevada,"$39,499","$12,659",32.0%,"$11,442",29.0%,"$10,605",26.8%
40,Utah,"$44,502","$14,160",31.8%,"$11,328",25.5%,"$9,876",22.2%
41,Florida*,"$41,114","$13,011",31.6%,"$11,461",27.9%,"$9,409",22.9%
42,Texas*,"$38,384","$11,349",29.6%,"$10,921",28.5%,"$10,225",26.6%
43,South Carolina,"$35,510","$10,474",29.5%,"$10,308",29.0%,"$9,691",27.3%
44,Alabama*,"$29,497","$8,632",29.3%,"$8,424",28.6%,"$8,008",27.1%
45,Arkansas,"$31,747","$9,178",28.9%,"$8,801",27.7%,"$8,320",26.2%
46,Georgia,"$38,311","$11,066",28.9%,"$10,537",27.5%,"$9,573",25.0%
47,Mississippi*,"$26,911","$7,696",28.6%,"$7,254",27.0%,"$6,864",25.5%
48,Alaska,"$46,867","$12,107",25.8%,"$11,304",24.1%,"$9,883",21.1%
49,Idaho,"$41,533","$10,608",25.5%,"$9,996",24.1%,"$9,201",22.2%
50,South Dakota,"$37,415","$8,632",23.1%,"$8,632",23.1%,"$8,070",21.6%