State,Average Annual Child Care Prices.Center.Infant,Average Annual Child Care Prices.Center.Toddler,Average Annual Child Care Prices.Center.4-Year-Old,Average Annual Child Care Prices.Center.Before/After School,Average Annual Child Care Prices.Center.Full-Time Summer,In-State Tuition.4 Year Public University.Avg Tuition and Fees,In-State Tuition.4 Year Public University.% Difference
Alabama*,"$8,632","$8,424","$8,008","$16,640","$8,632","$12,221.15",-29.37%
Alaska,"$12,107","$11,304","$9,883","$21,990","$12,107","$9,265.34",30.67%
Arizona*,"$15,964","$13,390","$11,680","$27,644","$15,964","$12,826.35",24.46%
Arkansas,"$9,178","$8,801","$8,320","$17,498","$9,178","$10,107.33",-9.19%
California*,"$22,628",NR,"$16,665","$39,293","$22,628","$11,314.36",99.99%
Colorado,"$20,978","$17,479","$14,800","$35,779","$20,978","$13,180.46",59.16%
Connecticut,"$18,492","$18,829","$15,297","$33,789","$18,492","$17,190",7.57%
Delaware,"$16,617","$14,668","$13,218","$29,835","$16,617","$15,690",5.91%
District of Columbia,"$26,193","$24,087","$20,981","$47,174","$26,193","$8,636",203.30%
Florida*,"$13,011","$11,461","$9,409","$22,420","$13,011","$6,362.22",104.50%
Georgia,"$11,066","$10,537","$9,573","$20,639","$11,066","$8,521.59",29.86%
Hawaii,"$24,115","$18,852","$13,992","$38,107","$24,115","$11,185",115.60%
Idaho*,"$10,608","$9,996","$9,201","$19,809","$10,608","$8,865",19.66%
Illinois*,"$19,807","$18,736","$17,238","$37,045","$19,807","$15,318",29.31%
Indiana,"$16,478","$16,002","$12,531","$29,009","$16,478","$10,642.15",54.84%
Iowa,"$12,694","$11,729","$10,100","$22,794","$12,694","$10,867",16.81%
Kansas,"$15,156","$11,071","$9,217","$24,373","$15,156","$10,285.74",47.35%
Kentucky,"$12,740","$12,220","$10,712","$23,452","$12,740","$12,144",4.91%
Louisiana*,"$10,847","$9,997","$9,378","$20,225","$10,847","$10,363.76",4.66%
Maine*,"$15,730","$14,820","$14,144","$29,874","$15,730","$12,356.52",27.30%
Maryland,"$25,321","$22,594","$15,601","$40,832","$25,321","$11,156",126.97%
Massachusetts,"$26,343","$24,314","$20,669","$47,012","$26,343","$15,285",72.35%
Michigan,"$13,454","$13,555","$12,246","$25,699","$13,454","$15,922",-15.50%
Minnesota,"$20,421","$18,042","$15,733","$36,154","$20,421","$13,863",47.31%
Mississippi*,"$7,696","$7,254","$6,864","$14,560","$7,696","$9,720.64",-20.83%
Missouri,"$13,780","$11,700","$9,568","$23,348","$13,780","$12,354.31",11.54%
Montana,"$15,080","$15,080","$14,300","$29,380","$15,080","$8,248.95",82.81%
Nebraska,"$18,147","$17,184","$15,738","$32,916","$18,147","$9,731.59",86.48%
Nevada,"$12,659","$11,442","$10,605","$23,264","$12,659","$9,365.04",35.17%
New Hampshire*,"$16,040","$14,870","$13,042","$29,082","$16,040","$17,362.83",-7.62%
New Jersey*,"$20,213","$19,448","$17,503","$37,717","$20,213","$17,049.35",18.56%
New York,"$20,439","$18,661","$17,343","$37,783","$20,439","$8,730.28",134.12%
North Carolina,"$12,370","$11,694","$10,381","$22,751","$12,370","$7,474",65.51%
North Dakota,"$12,299","$11,580","$10,869","$23,168","$12,299","$10,470.73",17.46%
Ohio,"$13,780","$12,376","$11,752","$25,532","$13,780","$13,433.46",2.58%
Oklahoma,"$10,809","$10,060","$9,415","$20,224","$10,809","$9,810",10.18%
Oregon,"$19,500","$17,368","$13,260","$32,760","$19,500","$14,128.22",38.02%
Pennsylvania*,"$14,910","$14,180","$12,453","$27,364","$14,910","$16,329.31",-8.69%
Rhode Island*,"$18,486",NA,"$16,212","$34,698","$18,486","$15,686.53",17.85%
South Carolina,"$10,474","$10,308","$9,691","$20,166","$10,474","$13,205.33",-20.68%
South Dakota,"$8,632","$8,632","$8,070","$16,702","$8,632","$9,192.27",-6.10%
Tennessee*,"$13,126","$12,063","$10,840","$23,966","$13,126","$11,305.54",16.10%
Texas*,"$11,349","$10,921","$10,225","$21,574","$11,349","$11,260.25",0.79%
Utah,"$14,160","$11,328","$9,876","$24,036","$14,160","$7,986",77.31%
Vermont*,"$18,710","$17,988","$15,877","$34,586","$18,710","$17,488.82",6.98%
Virginia,"$16,796","$15,964","$13,884","$30,680","$16,796","$15,663",7.23%
Washington,"$21,348","$19,236","$16,908","$38,256","$21,348","$11,848",80.18%
West Virginia*,"$10,439","$9,903","$9,368","$19,807","$10,439","$9,591.24",8.84%
Wisconsin*,"$17,963","$18,239","$15,039","$33,002","$17,963","$10,131.58",77.30%
Wyoming*,"$12,784","$11,897","$11,229","$24,013","$12,784","$6,957.22",83.75%