Rank,State,Annual Price.FCC Program.Before/After School Care,Annual Price.FCC Program.Full-Time Summer Care,Single-Parent Family.Median Income,Single-Parent Family.% of Median Income,Married-Couple Family.Median Income,Married-Couple Family.% of Median Income
1,New York,"$13,299",NR,"$30,677",43.35%,"$105,842",12.6%
2,Hawaii,"$10,694","$10,668","$36,893",28.99%,"$101,033",10.6%
3,Oklahoma,"$7,990",NA,"$23,681",33.74%,"$76,207",10.5%
4,California*,"$10,293","$3,431","$34,291",30.02%,"$104,039",9.9%
5,Rhode Island*,"$8,775","$2,925","$29,351",29.90%,"$105,916",8.3%
6,South Carolina,"$6,321",NR,"$26,633",23.73%,"$83,171",7.6%
7,Maine*,"$6,728","$2,243","$30,552",22.02%,"$89,268",7.5%
8,Colorado,"$8,068",NR,"$36,261",22.25%,"$110,343",7.3%
9,Wyoming*,"$6,080","$2,258","$24,977",24.34%,"$84,070",7.2%
10,Texas*,"$6,300","$2,100","$28,788",21.88%,"$87,125",7.2%
11,Maryland,"$8,505",NR,"$39,522",21.52%,"$119,933",7.1%
12,Wisconsin,"$6,568",NR,"$30,321",21.66%,"$96,848",6.8%
13,Tennessee,"$5,618","$6,789","$24,293",23.13%,"$83,909",6.7%
14,Idaho,"$5,328",NR,"$31,150",17.10%,"$80,795",6.6%
15,Arizona,"$5,850","$2,600","$33,111",17.67%,"$89,712",6.5%
16,Pennsylvania*,"$6,297","$2,099","$27,848",22.61%,"$97,268",6.5%
17,North Carolina,"$5,693","$1,898","$27,136",20.98%,"$87,965",6.5%
18,Kentucky,"$5,148","$2,340","$21,300",24.17%,"$80,230",6.4%
19,Ohio,"$5,967","$1,989","$25,811",23.12%,"$93,516",6.4%
20,New Jersey*,"$7,960","$2,246","$33,600",23.69%,"$125,264",6.4%
21,Alabama*,"$5,090","$1,697","$22,123",23.01%,"$80,552",6.3%
22,Georgia,"$5,661","$1,887","$28,733",19.70%,"$89,844",6.3%
23,Utah,"$5,760","$1,920","$33,377",17.26%,"$91,460",6.3%
24,Michigan,"$5,448","$1,257","$26,702",20.40%,"$90,598",6.0%
25,Indiana,"$5,143","$1,934","$26,903",19.12%,"$85,756",6.0%
26,Florida*,"$5,094","$2,547","$30,836",16.52%,"$84,968",6.0%
27,Alaska,"$5,559","$2,084","$35,150",15.81%,"$94,097",5.9%
28,Nevada,"$4,954",NR,"$29,624",16.72%,"$84,421",5.9%
29,Massachusetts,"$7,583","$3,764","$31,785",23.86%,"$132,776",5.7%
30,Arkansas,"$4,274","$1,804","$23,810",17.95%,"$75,631",5.7%
31,South Dakota,"$4,836",NR,"$28,061",17.23%,"$86,404",5.6%
32,Vermont,"$5,595","$2,804","$32,352",17.29%,"$100,364",5.6%
33,Connecticut,"$5,928",NA,"$32,305",18.35%,"$117,890",5.0%
34,Washington,"$5,460",NR,"$31,581",17.29%,"$109,135",5.0%
35,Mississippi*,"$3,588","$1,196","$20,183",17.78%,"$77,297",4.6%
36,Montana,"$3,900","$2,600","$31,202",12.50%,"$84,672",4.6%
37,Delaware,"$4,294","$2,191","$34,054",12.61%,"$98,441",4.4%
38,Missouri,"$3,432","$1,144","$29,990",11.44%,"$86,993",3.9%
39,Virginia,"$4,095","$3,081","$32,159",12.73%,"$110,105",3.7%
40,Illinois,"$3,524","$2,403","$30,966",11.38%,"$102,962",3.4%
41,New Hampshire,"$3,827",NR,"$33,815",11.32%,"$112,522",3.4%
42,Iowa,"$3,067","$1,934","$29,657",10.34%,"$90,584",3.4%
43,Kansas,"$2,742","$914","$28,388",9.66%,"$85,596",3.2%
"--",DC,NR,NR,"$41,652",,"$187,500",
"--",Louisiana*,NA,NA,"$20,843",,"$83,397",
"--",Minnesota,NA,NA,"$33,535",,"$106,888",
"--",Nebraska,NR,"$10,038","$31,535",,"$89,922",
"--",North Dakota,NA,NA,"$26,745",,"$98,294",
"--",Oregon,NR,NR,"$31,315",,"$94,162",
"--",West Virginia*,NR,NR,"$22,481",,"$75,141",